Date,Open,High,Low,Close,Adj Close,Volume
2019-04-23,112.190002,114.040001,111.900002,113.970001,112.167809,3342800
2019-04-24,113.760002,114.360001,113.419998,114.019997,112.217010,2318400
2019-04-25,115.230003,116.500000,114.750000,115.879997,114.047600,4595200
2019-04-26,116.589996,117.730003,116.099998,117.599998,115.740402,2990600
2019-04-29,117.239998,117.699997,116.550003,116.760002,114.913696,3096200
2019-04-30,117.050003,117.349998,116.099998,117.230003,115.376259,2387900
2019-05-01,117.470001,117.989998,116.930000,117.019997,115.169571,2450500
2019-05-02,117.000000,117.650002,116.680000,117.250000,115.395943,2538700
2019-05-03,117.910004,119.660004,117.629997,119.349998,117.462738,2856200
2019-05-06,117.260002,119.610001,117.050003,119.339996,117.452888,2924500
2019-05-07,118.370003,119.410004,117.650002,118.220001,116.350601,6282300
2019-05-08,117.830002,118.110001,116.820000,117.489998,115.632149,4037500
2019-05-09,116.150002,117.290001,115.379997,117.260002,115.405785,3219600
2019-05-10,116.860001,118.930000,116.209999,118.459999,116.586800,2435100
2019-05-13,116.419998,116.889999,115.620003,115.900002,114.067291,3710600
2019-05-14,115.980003,117.730003,115.769997,117.010002,115.159737,2460700
2019-05-15,116.180000,118.230003,115.900002,117.660004,115.799461,2711400
2019-05-16,117.769997,120.349998,117.769997,119.839996,117.944977,4143500
2019-05-17,118.599998,119.589996,118.510002,119.070000,117.187164,5273600
2019-05-20,118.830002,120.320000,118.620003,119.839996,117.944977,2765600
2019-05-21,120.470001,120.680000,119.339996,120.550003,118.643761,3369100
2019-05-22,120.360001,120.879997,119.440002,120.010002,118.112297,2941100
2019-05-23,119.269997,119.400002,117.849998,118.430000,116.557281,3290200
2019-05-24,119.209999,119.629997,118.330002,119.510002,117.620201,2240100
2019-05-28,119.360001,120.120003,118.169998,118.169998,116.301392,2550300
2019-05-29,117.709999,117.809998,116.040001,117.010002,115.159737,2553900
2019-05-30,117.209999,117.309998,116.110001,116.739998,114.894012,1882400
2019-05-31,115.769997,115.980003,114.559998,114.709999,112.896111,2969100
2019-06-03,114.559998,115.930000,113.889999,114.620003,112.807526,2968500
2019-06-04,115.709999,117.000000,115.230003,116.849998,115.002258,3043200
2019-06-05,117.180000,118.239998,117.010002,118.120003,116.252190,2568100
2019-06-06,118.419998,119.639999,118.150002,119.430000,117.541466,2209300
2019-06-07,119.870003,121.360001,119.559998,121.110001,119.194901,2481800
2019-06-10,121.599998,123.449997,121.410004,122.660004,120.720398,3453700
2019-06-11,123.550003,124.739998,123.080002,123.230003,121.281380,3303800
2019-06-12,122.919998,123.190002,121.589996,122.029999,120.100349,2685700
2019-06-13,122.089996,122.699997,121.419998,121.860001,119.933044,2343900
2019-06-14,122.010002,122.610001,120.940002,122.000000,120.070831,2483800
2019-06-17,122.239998,122.239998,121.300003,121.449997,119.529526,2094200
2019-06-18,122.809998,125.050003,122.209999,123.430000,121.478210,2729200
2019-06-19,124.239998,124.919998,123.680000,124.680000,122.708450,2951700
2019-06-20,125.690002,126.400002,124.470001,124.919998,122.944664,3303200
2019-06-21,125.199997,126.309998,124.559998,124.730003,122.757660,5703800
2019-06-24,124.980003,125.419998,124.010002,124.139999,122.176994,2680900
2019-06-25,124.269997,124.570000,123.040001,123.160004,121.212494,2387800
2019-06-26,123.180000,124.000000,123.029999,123.589996,121.635681,1902500
2019-06-27,123.690002,124.410004,123.559998,123.940002,121.980148,1504300
2019-06-28,124.290001,124.550003,123.199997,123.440002,121.488060,4338900
2019-07-01,125.300003,126.400002,124.550003,124.919998,122.944664,4023500
2019-07-02,124.779999,125.330002,124.599998,125.099998,123.121803,4076100
2019-07-03,125.209999,126.050003,124.940002,125.860001,124.257164,3714300
2019-07-05,126.129997,126.190002,124.309998,125.400002,123.803017,3731500
2019-07-08,124.989998,125.230003,124.639999,124.849998,123.260025,3332000
2019-07-09,124.269997,126.040001,124.180000,125.900002,124.296654,2237100
2019-07-10,126.699997,128.419998,126.699997,126.889999,125.274048,2733800
2019-07-11,126.980003,127.690002,126.440002,127.279999,125.659081,2928100
2019-07-12,127.550003,128.000000,126.870003,127.959999,126.330414,1639400
2019-07-15,128.250000,128.679993,127.760002,128.570007,126.932663,2355700
2019-07-16,129.220001,129.339996,127.800003,128.059998,126.429146,2734000
2019-07-17,128.020004,128.639999,127.010002,127.080002,125.461632,2248900
