M/Z,Intensity
-7.8602611e-005,4.1588738
2.1773576e-007,4.0583208
9.6021472e-005,4.0683761
0.00036601382,4.1085973
0.00081019477,4.0020111
0.0014285643,3.9054801
0.0022211225,3.8873806
0.0031878693,3.9718451
0.0043288047,3.9899447
0.0056439287,4.0040221
0.0071332413,4.034188
0.0087967426,3.9959779
0.010634432,4.0522876
0.012646311,4.1930618
0.014832378,4.2815485
0.017192634,4.1347411
0.019727078,3.9255907
0.022435711,3.869281
0.025318532,3.9074912
0.028375542,4.1588738
0.031606741,4.3237808
0.035012128,4.3036702
0.038591704,4.3117144
0.042345469,4.3278029
0.046273422,4.1246858
0.050375564,4.0844646
0.054651894,4.0402212
0.059102413,4.0542986
0.063727121,4.0925088
0.068526017,4.2111614
0.073499102,4.2212167
0.078646375,4.2433384
0.083967837,4.1387632
0.089463488,4.0261438
0.095133327,4.0060332
0.10097736,3.9758673
0.10699557,4.0925088
0.11318798,4.2393162
0.11955457,4.2714932
0.12609535,4.3197587
0.13281032,4.1769734
0.13969948,4.1166415
0.14676283,4.0583208
0.15400037,4.0382102
0.16141209,4.032177
0.16899801,4.0382102
0.17675811,4.0643539
0.1846924,4.0422323
0.19280088,4.034188
0.20108355,4.0040221
0.20954041,3.9879336
0.21817145,4
0.22697669,3.9778783
0.23595611,4.0784314
0.24510972,4.0764203
0.25443752,4.0804424
0.26393951,4.0040221
0.27361569,3.9557567
0.28346605,3.9517345
0.29349061,3.9497235
0.30368935,3.9758673
0.31406228,4.0563097
0.3246094,4.0784314
0.33533071,4.1166415
0.34622621,4.1528406
0.3572959,4.164907
0.36853977,4.1548517
0.37995783,4.1749623
0.39155009,4.1508296
0.40331653,4.1950729
0.41525716,4.2192056
0.42737197,4.2051282
0.43966098,4.1528406
0.45212418,4.2091503
0.46476156,4.1588738
0.47757313,4.2031171
0.49055889,4.1769734
0.50371884,4.1568627
0.51705298,4.1830065
0.53056131,4.1588738
0.54424382,4.1226747
0.55810053,4.0744093
0.57213142,4.0844646
0.5863365,4.0482655
0.60071577,4.0542986
0.61526923,4.034188
0.62999688,4.0281549
0.64489871,4
0.65997473,3.9819005
0.67522495,4.0040221
0.69064935,4.0020111
0.70624794,3.9839115
0.72202072,3.9859226
0.73796769,3.9698341
0.75408884,3.9557567
0.77038419,3.9718451
0.78685372,4.0040221
0.80349744,4.0140774
0.82031535,3.9879336
0.83730745,4.0402212
0.85447374,4.0603318
0.87181421,4.0904977
0.88932888,4.0804424
0.90701773,4.0744093
0.92488077,4.0723982
0.942918,4.0925088
0.96112942,4.0723982
0.97951503,4.1186526
0.99807483,4.1126194
1.0168088,4.1488185
1.035717,4.1126194
1.0547993,4.1488185
1.0740559,4.100553
1.0934866,4.1508296
1.1130916,4.130719
1.1328707,4.1468074
1.152824,4.1950729
1.1729515,4.1347411
1.1932532,4.1367521
1.213729,4.1367521
1.2343791,4.1226747
1.2552033,4.1126194
1.2762018,4.1287079
1.2973744,4.1146305
1.3187212,4.1085973
