M/Z,Intensity
-7.8602611e-005,4.2252388
2.1773576e-007,4.1488185
9.6021472e-005,4.0542986
0.00036601382,4.1608849
0.00081019477,4.0884867
0.0014285643,3.933635
0.0022211225,3.9477124
0.0031878693,4.0100553
0.0043288047,4.0502765
0.0056439287,4.0180995
0.0071332413,4.1266968
0.0087967426,3.967823
0.010634432,4.1347411
0.012646311,4.199095
0.014832378,4.2775264
0.017192634,4.2473605
0.019727078,3.9376571
0.022435711,3.8813474
0.025318532,3.9959779
0.028375542,4.1588738
0.031606741,4.4042232
0.035012128,4.39819
0.038591704,4.364002
0.042345469,4.3056812
0.046273422,4.1950729
0.050375564,4.0804424
0.054651894,4.1226747
0.059102413,4.098542
0.063727121,4.1367521
0.068526017,4.2735043
0.073499102,4.2795375
0.078646375,4.2594268
0.083967837,4.1488185
0.089463488,4.0402212
0.095133327,4.0382102
0.10097736,4.0442433
0.10699557,4.100553
0.11318798,4.2775264
0.11955457,4.331825
0.12609535,4.3680241
0.13281032,4.2171946
0.13969948,4.1709402
0.14676283,4.1126194
0.15400037,4.0482655
0.16141209,4.0884867
0.16899801,4.034188
0.17675811,4.1468074
0.1846924,4.0764203
0.19280088,4.0603318
0.20108355,4.0422323
0.20954041,4.0180995
0.21817145,4.0442433
0.22697669,4.0301659
0.23595611,4.0884867
0.24510972,4.1186526
0.25443752,4.0844646
0.26393951,4.0643539
0.27361569,4.0221217
0.28346605,3.9738562
0.29349061,3.967823
0.30368935,4.0241327
0.31406228,4.1246858
0.3246094,4.0965309
0.33533071,4.1528406
0.34622621,4.197084
0.3572959,4.263449
0.36853977,4.1528406
0.37995783,4.2373052
0.39155009,4.2171946
0.40331653,4.2533937
0.41525716,4.2533937
0.42737197,4.2694822
0.43966098,4.2554047
0.45212418,4.2292609
0.46476156,4.231272
0.47757313,4.2292609
0.49055889,4.2332831
0.50371884,4.2453494
0.51705298,4.199095
0.53056131,4.1950729
0.54424382,4.1809955
0.55810053,4.1266968
0.57213142,4.1287079
0.5863365,4.098542
0.60071577,4.0723982
0.61526923,4.1025641
0.62999688,4.0502765
0.64489871,4.0542986
0.65997473,4.0784314
0.67522495,4.0361991
0.69064935,3.9899447
0.70624794,4.0462544
0.72202072,4.0764203
0.73796769,3.9979889
0.75408884,3.9899447
0.77038419,4.0120664
0.78685372,4.0201106
0.80349744,4.034188
0.82031535,4.0804424
0.83730745,4.0965309
0.85447374,4.1347411
0.87181421,4.0824535
0.88932888,4.100553
0.90701773,4.1548517
0.92488077,4.1347411
0.942918,4.1387632
0.96112942,4.1548517
0.97951503,4.1427853
0.99807483,4.1749623
1.0168088,4.2272499
1.035717,4.1528406
1.0547993,4.1347411
1.0740559,4.1769734
1.0934866,4.1729512
1.1130916,4.1910508
1.1328707,4.1709402
1.152824,4.2192056
1.1729515,4.197084
1.1932532,4.164907
1.213729,4.1447964
1.2343791,4.164907
1.2552033,4.1608849
1.2762018,4.2171946
1.2973744,4.1146305
1.3187212,4.1830065
1.3402422,4.1468074
1.3619374,4.1689291
1.3838068,4.1709402
1.4058504,4.1427853
1.4280681,4.130719
1.4504601,4.0623429
1.4730262,4.1347411
1.4957665,4.1447964
1.518681,4.1025641
1.5417697,4.0965309
1.5650326,4.0744093
1.5884697,4.0482655
1.612081,4.0784314
1.6358664,4.066365
1.6598261,4.0482655
1.6839599,4.0603318
1.7082679,4.0180995
1.7327501,4.0522876
1.7574065,4.1126194
1.7822371,4.0703871
1.8072419,4.0904977
1.8324209,4.1065862
1.857774,4.1528406
1.8833013,4.1427853
1.9090029,4.1266968
1.9348786,4.2252388
1.9609285,4.1729512
1.9871526,4.1850176
2.0135509,4.1950729
2.0401234,4.1588738
2.06687,4.2151835
2.0937909,4.2091503
2.1208859,4.2252388
2.1481551,4.2031171
2.1755985,4.2373052
2.2032161,4.2292609
2.2310079,4.1870287
2.2589739,4.2292609
2.2871141,4.1890397
2.3154285,4.1568627
2.343917,4.1709402
2.3725797,4.199095
2.4014167,4.13273
2.4304278,4.1809955
2.4596131,4.1106083
2.4889726,4.1367521
2.5185062,4.1347411
2.5482141,4.1468074
2.5780962,4.1347411
2.6081524,4.1729512
2.6383828,4.1528406
2.6687875,4.1890397
2.6993663,4.2091503
2.7301193,4.2352941
2.7610465,4.2775264
2.7921478,4.430367
2.8234234,4.4605329
2.8548732,4.4705882
2.8864971,4.4323781
2.9182952,4.3418803
2.9502676,4.2533937
2.9824141,4.2151835
3.0147348,4.2232278
3.0472296,4.1508296
3.0798987,4.1628959
3.112742,4.1910508
3.1457594,4.1246858
3.1789511,4.164907
3.2123169,4.1347411
3.2458569,4.1729512
3.2795711,4.1870287
3.3134595,4.1588738
3.3475221,4.164907
3.3817589,4.1930618
3.4161698,4.2151835
3.450755,4.2131724
3.4855143,4.1890397
3.5204478,4.2011061
3.5555556,4.2232278
3.5908375,4.199095
3.6262936,4.2332831
3.6619238,4.2051282
3.6977283,4.2352941
3.733707,4.2131724
3.7698598,4.1870287
3.8061868,4.1407743
3.8426881,4.1950729
3.8793635,4.199095
3.9162131,4.1367521
3.9532369,4.1025641
3.9904348,4.1508296
4.027807,4.1206637
4.0653534,4.0925088
4.1030739,4.0764203
4.1409686,4.0965309
4.1790376,4.1085973
4.2172807,4.0925088
4.255698,4.0764203
4.2942895,4.0703871
4.3330551,4.0884867
4.371995,4.1126194
4.411109,4.0804424
4.4503973,4.0864756
4.4898597,4.1287079
4.5294963,4.0764203
4.5693071,4.1025641
4.6092921,4.1568627
4.6494513,4.1065862
4.6897847,4.1085973
4.7302923,4.1246858
4.770974,4.166918
4.8118299,4.1347411
4.8528601,4.1266968
4.8940644,4.1266968
4.9354429,4.1427853
4.9769956,4.1789844
5.0187225,4.1689291
5.0606235,4.1407743
5.1026988,4.1468074
5.1449482,4.1950729
5.1873719,4.1468074
5.2299697,4.2071393
5.2727417,4.1508296
5.3156879,4.1588738
5.3588083,4.1508296
5.4021029,4.1548517
5.4455717,4.1689291
5.4892146,4.1628959
5.5330318,4.1789844
5.5770231,4.1367521
5.6211886,4.1870287
5.6655283,4.1287079
5.7100422,4.1568627
5.7547303,4.1025641
5.7995926,4.1568627
5.8446291,4.1226747
5.8898397,4.164907
5.9352245,4.1468074
5.9807836,4.1065862
6.0265168,4.0643539
6.0724242,4.1246858
6.1185058,4.0844646
6.1647616,4.1407743
6.2111916,4.0864756
6.2577957,4.100553
6.3045741,4.100553
6.3515266,4.0925088
6.3986533,4.0925088
6.4459543,4.0784314
6.4934294,4.0643539
6.5410787,4.0925088
6.5889021,4.1447964
6.6368998,4.0945199
6.6850717,4.0925088
6.7334177,4.0824535
6.781938,4.1407743
6.8306324,4.1568627
6.879501,4.1106083
6.9285438,4.1870287
6.9777608,4.1870287
7.027152,4.1628959
7.0767174,4.1065862
7.1264569,4.1528406
7.1763707,4.2071393
7.2264586,4.1106083
7.2767207,4.1407743
7.327157,4.1769734
7.3777675,4.1910508
7.4285522,4.1508296
7.4795111,4.1588738
7.5306442,4.1387632
7.5819514,4.1407743
7.6334329,4.1447964
7.6850885,4.1588738
7.7369183,4.1106083
7.7889223,4.1085973
7.8411005,4.1830065
7.8934529,4.1025641
7.9459795,4.13273
7.9986802,4.130719
8.0515552,4.1287079
8.1046043,4.1085973
8.1578277,4.1246858
8.2112252,4.1166415
8.2647969,4.130719
8.3185428,4.0925088
8.3724629,4.1528406
8.4265572,4.1106083
8.4808256,4.1367521
8.5352683,4.1347411
8.5898851,4.0904977
8.6446761,4.1468074
8.6996413,4.13273
8.7547808,4.1146305
8.8100943,4.1186526
8.8655821,4.1045752
8.9212441,4.098542
8.9770803,4.0904977
9.0330906,4.13273
9.0892751,4.1226747
9.1456339,4.1146305
9.2021668,4.1447964
9.2588739,4.1407743
9.3157552,4.1447964
9.3728107,4.1206637
9.4300403,4.1447964
9.4874442,4.1488185
9.5450222,4.1689291
9.6027745,4.1367521
9.6607009,4.130719
9.7188015,4.1789844
9.7770763,4.1488185
9.8355253,4.1287079
9.8941485,4.1427853
9.9529458,4.1809955
10.011917,4.1266968
10.071063,4.1447964
10.130383,4.1568627
10.189877,4.098542
10.249545,4.2212167
10.309388,4.1287079
10.369405,4.1025641
10.429596,4.166918
10.489961,4.1246858
10.5505,4.1246858
10.611213,4.1166415
10.672101,4.0482655
10.733163,4.1186526
10.794399,4.1025641
10.855809,4.1065862
10.917393,4.098542
10.979152,4.0884867
11.041085,4.1126194
11.103192,4.1407743
11.165473,4.1065862
11.227928,4.0764203
11.290558,4.13273
11.353361,4.0945199
11.416339,4.1025641
11.479491,4.1246858
11.542818,4.1347411
11.606318,4.1025641
11.669993,4.1488185
11.733841,4.1025641
11.797864,4.1407743
11.862062,4.0764203
11.926433,4.1890397
11.990979,4.1367521
12.055698,4.1045752
12.120592,4.1950729
12.185661,4.1508296
12.250903,4.1246858
12.316319,4.1447964
12.38191,4.130719
12.447675,4.1789844
12.513614,4.1246858
12.579727,4.1226747
12.646015,4.1508296
12.712477,4.1226747
12.779112,4.1387632
12.845923,4.1387632
12.912907,4.1488185
12.980065,4.1468074
13.047398,4.1850176
13.114905,4.1689291
13.182586,4.1367521
13.250441,4.1508296
13.31847,4.1488185
13.386674,4.1427853
13.455051,4.1850176
13.523603,4.1427853
13.592329,4.130719
13.66123,4.1548517
13.730304,4.1206637
13.799553,4.130719
13.868976,4.1628959
13.938573,4.1025641
14.008344,4.1246858
14.07829,4.0864756
14.148409,4.098542
14.218703,4.0844646
14.289171,4.1287079
14.359813,4.1387632
14.43063,4.1126194
14.50162,4.166918
14.572785,4.098542
14.644124,4.1628959
14.715637,4.0945199
14.787324,4.0945199
14.859186,4.1528406
14.931221,4.1367521
15.003431,4.1025641
15.075815,4.1588738
15.148374,4.1608849
15.221106,4.1427853
15.294013,4.1608849
15.367094,4.1387632
15.440349,4.1468074
15.513778,4.1588738
15.587381,4.1427853
15.661159,4.1910508
15.735111,4.2071393
15.809237,4.1287079
15.883537,4.130719
15.958011,4.1709402
16.03266,4.130719
16.107482,4.1568627
16.182479,4.1890397
16.25765,4.1287079
16.332996,4.1850176
16.408515,4.2272499
16.484209,4.2212167
16.560077,4.2252388
16.636119,4.2574158
16.712335,4.3660131
16.788725,4.3660131
16.86529,4.2936149
16.942029,4.3579688
17.018942,4.2895928
17.096029,4.3881347
17.17329,4.494721
17.250726,4.5349422
17.328335,4.5510307
17.406119,4.6133736
17.484077,4.7058824
17.56221,4.7742584
17.640516,4.892911
17.718997,4.9653092
17.797652,4.8325792
17.876481,4.7883358
17.955484,4.6897939
18.034662,4.6314731
18.114013,4.6314731
18.193539,4.595274
18.273239,4.5510307
18.353113,4.5007541
18.433162,4.5449975
18.513384,4.494721
18.593781,4.4404223
18.674352,4.3841126
18.755097,4.361991
18.836016,4.329814
18.91711,4.2513826
18.998377,4.2413273
19.079819,4.2453494
19.161435,4.2212167
19.243226,4.2453494
19.32519,4.2352941
19.407329,4.197084
19.489642,4.2895928
19.572129,4.2775264
19.65479,4.3800905
19.737625,4.3438914
19.820635,4.3358472
19.903819,4.4927099
19.987177,5.984917
20.070709,8.4645551
20.154415,8.9753645
20.238296,7.6943188
20.32235,6.6204123
20.406579,6.0894922
20.490982,5.8662645
20.57556,5.6631473
20.660311,5.4177979
20.745237,5.323278
20.830337,5.2287582
20.915611,5.0155857
21.001059,4.8024133
21.086681,4.6515837
21.172478,4.6053293
21.258449,4.5490196
21.344594,4.4665661
21.430913,4.4343891
21.517406,4.4384113
21.604074,4.428356
21.690915,4.3338361
21.777931,4.3841126
21.865121,4.3901458
21.952486,4.3338361
22.040024,4.3237808
22.127737,4.3660131
22.215624,4.3479135
22.303685,4.3660131
22.39192,4.2775264
22.480329,4.3097034
22.568913,4.2735043
22.657671,4.2352941
22.746603,4.2393162
22.835709,4.263449
22.924989,4.2071393
23.014444,4.2051282
23.104073,4.2352941
23.193876,4.2493715
23.283853,4.2111614
23.374004,4.2111614
23.46433,4.2031171
23.554829,4.2252388
23.645503,4.164907
23.736351,4.1950729
23.827373,4.1789844
23.91857,4.2051282
24.009941,4.1830065
24.101485,4.2192056
24.193204,4.1628959
24.285098,4.2373052
24.377165,4.2091503
24.469407,4.1890397
24.561822,4.2131724
24.654412,4.2554047
24.747176,4.3358472
24.840115,4.561086
24.933227,4.6455505
25.026514,4.1528406
25.119975,4.8245349
25.21361,17.435897
25.307419,48.235294
25.401403,57.363499
25.49556,44.993464
25.589892,33.616893
25.684398,30.25641
25.779078,28.13273
25.873933,25.486174
25.968961,23.819005
26.064164,22.668678
26.159541,20.94721
26.255092,19.551533
26.350818,18.105581
26.446717,16.627451
26.542791,15.627954
26.639039,14.543992
26.735461,13.474108
26.832057,12.478632
26.928828,11.304173
27.025772,10.517848
27.122891,10.001006
27.220184,9.7556561
27.317652,9.4097536
27.415293,8.8567119
27.513109,8.3599799
27.611098,8.5087984
27.709262,8.1850176
27.807601,7.8652589
27.906113,7.6782303
28.0048,7.3685269
28.10366,7.2579186
28.202695,7.2900955
28.301904,7.2217195
28.401288,7.0930116
28.500845,6.8979387
28.600577,6.8195073
28.700483,6.6968326
28.800563,6.5419809
28.900817,6.4957265
29.001246,6.5419809
29.101848,6.4715938
29.202625,6.3006536
29.303576,6.3066868
29.404701,6.2885872
29.506001,6.4635495
29.607474,6.5319256
29.709122,6.6063348
29.810944,6.5922574
29.91294,6.6646556
30.01511,6.8014077
30.117455,6.9240825
30.219974,7.274007
30.322666,7.9497235
30.425534,8.7823027
30.528575,9.3695324
30.63179,9.6128708
30.73518,9.3856209
30.838744,9.1945701
30.942482,8.6133736
31.046394,8.4183007
31.15048,8.5510307
31.254741,8.8124686
31.359176,9.089995
31.463785,9.2046254
31.568568,8.9994972
31.673525,8.6556058
31.778657,8.2916038
31.883963,7.9758673
31.989442,7.6802413
32.095097,7.370538
32.200925,7.3886375
32.306927,7.6601307
32.413104,8.1890397
32.519455,8.9069884
32.62598,9.5947712
32.732679,10.425339
32.839553,10.803419
32.9466,10.690799
33.053822,10.113625
33.161218,9.4097536
33.268788,8.6234289
33.376532,7.933635
33.484451,7.3343389
33.592544,6.9844143
33.700811,6.7571644
33.809252,6.5922574
33.917867,6.381096
34.026657,6.314731
34.13562,6.1417798
34.244758,6.0050277
34.35407,5.8441428
34.463556,5.7415787
34.573217,5.6450478
34.683052,5.6993464
34.79306,5.7435897
34.903243,5.785822
35.013601,5.7938663
35.124132,5.7134238
35.234838,5.5646053
35.345717,5.4338864
35.456771,5.2669683
35.567999,5.2166918
35.679402,5.0135747
35.790978,5.0558069
35.902729,5.0457516
36.014654,4.8989442
36.126753,4.8687783
36.239026,4.8325792
36.351474,4.8506787
36.464095,4.8024133
36.576891,4.7199598
36.689861,4.6897939
36.803005,4.6998492
36.916324,4.7038713
37.029816,4.7159377
37.143483,4.6676722
37.257324,4.7038713
37.371339,4.728004
37.485529,4.7461036
37.599892,4.7883358
37.71443,4.7139266
37.829142,4.693816
37.944028,4.6234289
38.059088,4.5691302
38.174323,4.4906988
38.289731,4.4665661
38.405314,4.430367
38.521071,4.4605329
38.637002,4.462544
38.753108,4.5208648
